,日期,店铺,销量,评分,配送时间,订单状态
0,2024-07-07,炸鸡队长,37.0,4.5,52.0,已取消
1,2024-07-20,鲜粥铺,179.0,3.9,15.0,已完成
2,2024-07-29,炸鸡队长,115.0,4.4,45.0,已完成
3,2024-07-15,老张炒饭,142.0,4.5,18.0,已完成
4,2024-07-11,炸鸡队长,58.0,,59.0,已取消
5,2024-07-08,炸鸡队长,65.0,4.2,19.0,已完成
6,2024-07-29,湘味小炒,48.0,3.8,44.0,已完成
7,2024-07-21,湘味小炒,81.0,3.6,,已完成
8,2024-07-07,湘味小炒,35.0,4.1,17.0,已完成
9,2024-07-26,炸鸡队长,140.0,4.0,25.0,已完成
10,2024-07-19,蜀香麻辣烫,29.0,5.0,59.0,已完成
11,2024-07-23,炸鸡队长,177.0,4.2,18.0,配送中
12,2024-07-11,蜀香麻辣烫,172.0,4.0,40.0,已取消
13,2024-07-11,蜀香麻辣烫,122.0,4.4,41.0,配送中
14,2024-07-24,湘味小炒,103.0,3.6,57.0,已完成
15,2024-07-21,鲜粥铺,152.0,4.9,41.0,已取消
16,2024-07-04,老张炒饭,84.0,4.5,56.0,已取消
17,2024-07-08,湘味小炒,196.0,4.6,20.0,已完成
18,2024-07-24,湘味小炒,22.0,3.8,29.0,已完成
19,2024-07-03,鲜粥铺,192.0,4.1,44.0,已完成
20,2024-07-22,老张炒饭,161.0,4.1,56.0,已取消
21,2024-07-21,炸鸡队长,139.0,4.7,,已完成
22,2024-07-02,炸鸡队长,177.0,3.5,51.0,已完成
23,2024-07-24,湘味小炒,87.0,4.0,56.0,已完成
24,2024-07-12,老张炒饭,165.0,5.0,51.0,配送中
25,2024-07-30,湘味小炒,56.0,4.2,49.0,已取消
26,2024-07-06,蜀香麻辣烫,172.0,4.1,37.0,配送中
27,2024-07-02,湘味小炒,195.0,3.7,20.0,已完成
28,2024-07-28,湘味小炒,92.0,5.0,18.0,已完成
29,2024-07-21,炸鸡队长,162.0,,32.0,已完成
30,2024-07-01,炸鸡队长,68.0,4.6,23.0,已完成
31,2024-07-12,炸鸡队长,140.0,4.7,43.0,已完成
32,2024-07-26,蜀香麻辣烫,107.0,3.9,27.0,已完成
33,2024-07-22,炸鸡队长,159.0,4.5,31.0,已完成
34,2024-07-29,老张炒饭,56.0,3.6,59.0,已完成
35,2024-07-12,鲜粥铺,80.0,3.9,46.0,配送中
36,2024-07-25,老张炒饭,190.0,4.7,36.0,已完成
37,2024-07-17,老张炒饭,143.0,4.8,18.0,已取消
38,2024-07-27,炸鸡队长,58.0,4.4,19.0,已完成
39,2024-07-27,鲜粥铺,82.0,4.3,51.0,已完成
40,2024-07-31,鲜粥铺,65.0,3.7,55.0,已完成
41,2024-07-10,鲜粥铺,107.0,3.6,27.0,已完成
42,2024-07-28,蜀香麻辣烫,30.0,3.7,48.0,已完成
43,2024-07-28,炸鸡队长,81.0,3.8,59.0,已完成
44,2024-07-16,鲜粥铺,96.0,4.0,36.0,已完成
45,2024-07-15,蜀香麻辣烫,172.0,4.1,37.0,已完成
46,2024-07-30,湘味小炒,71.0,4.0,17.0,已完成
47,2024-07-30,湘味小炒,23.0,3.9,56.0,配送中
48,2024-07-15,蜀香麻辣烫,78.0,4.3,48.0,已取消
49,2024-07-30,蜀香麻辣烫,91.0,4.7,46.0,已取消
50,2024-07-19,炸鸡队长,167.0,3.9,59.0,已完成
51,2024-07-12,炸鸡队长,112.0,4.9,35.0,已取消
52,2024-07-23,湘味小炒,82.0,4.8,58.0,已取消
53,2024-07-20,鲜粥铺,73.0,3.7,35.0,已完成
54,2024-07-25,湘味小炒,136.0,4.7,58.0,配送中
55,2024-07-03,鲜粥铺,129.0,,25.0,已完成
56,2024-07-05,鲜粥铺,93.0,4.3,53.0,配送中
57,2024-07-19,炸鸡队长,126.0,4.1,18.0,配送中
58,2024-07-07,老张炒饭,76.0,4.3,15.0,已完成
59,2024-07-21,老张炒饭,188.0,4.1,42.0,已完成
60,2024-07-09,蜀香麻辣烫,22.0,4.3,38.0,配送中
61,2024-07-07,炸鸡队长,139.0,4.4,49.0,已完成
62,2024-07-18,鲜粥铺,25.0,4.5,27.0,已完成
63,2024-07-04,老张炒饭,24.0,4.3,48.0,配送中
64,2024-07-25,鲜粥铺,24.0,4.6,25.0,已完成
65,2024-07-28,老张炒饭,73.0,3.7,50.0,已完成
66,2024-07-14,老张炒饭,66.0,3.8,31.0,已完成
67,2024-07-18,老张炒饭,196.0,4.7,49.0,已完成
68,2024-07-26,炸鸡队长,28.0,4.0,32.0,已完成
69,2024-07-09,湘味小炒,118.0,3.5,54.0,已完成
70,2024-07-26,鲜粥铺,39.0,3.7,36.0,已完成
71,2024-07-21,炸鸡队长,141.0,3.8,999.0,已完成
72,2024-07-02,炸鸡队长,80.0,4.9,33.0,已取消
73,2024-07-20,炸鸡队长,142.0,4.4,51.0,已完成
74,2024-07-28,炸鸡队长,182.0,4.9,53.0,已完成
75,2024-07-15,炸鸡队长,197.0,4.4,35.0,已完成
76,2024-07-28,蜀香麻辣烫,101.0,4.2,22.0,已完成
77,2024-07-07,鲜粥铺,81.0,4.0,42.0,已完成
